wstudent_id,question_id,score,max_score
S0001,Q1,7,10
S0001,Q2,2,10
S0001,Q3,4,10
S0001,Q4,6,10
S0001,Q5,9,10
S0001,Q6,3,10
S0001,Q7,6,10
S0001,Q8,5,10
S0001,Q9,7,10
S0001,Q10,1,10
S0002,Q1,4,10
S0002,Q2,2,10
S0002,Q3,7,10
S0002,Q4,8,10
S0002,Q5,3,10
S0002,Q6,4,10
S0002,Q7,5,10
S0002,Q8,0,10
S0002,Q9,1,10
S0002,Q10,5,10
S0003,Q1,7,10
S0003,Q2,1,10
S0003,Q3,4,10
S0003,Q4,2,10
S0003,Q5,6,10
S0003,Q6,2,10
S0003,Q7,4,10
S0003,Q8,5,10
S0003,Q9,7,10
S0003,Q10,6,10
S0004,Q1,2,10
S0004,Q2,0,10
S0004,Q3,5,10
S0004,Q4,2,10
S0004,Q5,7,10
S0004,Q6,3,10
S0004,Q7,4,10
S0004,Q8,8,10
S0004,Q9,6,10
S0004,Q10,7,10
S0005,Q1,5,10
S0005,Q2,2,10
S0005,Q3,0,10
S0005,Q4,5,10
S0005,Q5,4,10
S0005,Q6,5,10
S0005,Q7,0,10
S0005,Q8,7,10
S0005,Q9,4,10
S0005,Q10,1,10
S0006,Q1,6,10
S0006,Q2,2,10
S0006,Q3,2,10
S0006,Q4,5,10
S0006,Q5,2,10
S0006,Q6,2,10
S0006,Q7,6,10
S0006,Q8,1,10
S0006,Q9,1,10
S0006,Q10,5,10
S0007,Q1,3,10
S0007,Q2,7,10
S0007,Q3,9,10
S0007,Q4,7,10
S0007,Q5,6,10
S0007,Q6,2,10
S0007,Q7,5,10
S0007,Q8,3,10
S0007,Q9,3,10
S0007,Q10,8,10
S0008,Q1,6,10
S0008,Q2,5,10
S0008,Q3,7,10
S0008,Q4,9,10
S0008,Q5,5,10
S0008,Q6,8,10
S0008,Q7,0,10
S0008,Q8,4,10
S0008,Q9,2,10
S0008,Q10,1,10
S0009,Q1,1,10
S0009,Q2,6,10
S0009,Q3,4,10
S0009,Q4,7,10
S0009,Q5,7,10
S0009,Q6,1,10
S0009,Q7,9,10
S0009,Q8,7,10
S0009,Q9,0,10
S0009,Q10,3,10
S0010,Q1,7,10
S0010,Q2,2,10
S0010,Q3,6,10
S0010,Q4,2,10
S0010,Q5,0,10
S0010,Q6,4,10
S0010,Q7,5,10
S0010,Q8,2,10
S0010,Q9,3,10
S0010,Q10,4,10
S0011,Q1,2,10
S0011,Q2,6,10
S0011,Q3,7,10
S0011,Q4,5,10
S0011,Q5,7,10
S0011,Q6,7,10
S0011,Q7,1,10
S0011,Q8,8,10
S0011,Q9,4,10
S0011,Q10,1,10
S0012,Q1,4,10
S0012,Q2,8,10
S0012,Q3,2,10
S0012,Q4,1,10
S0012,Q5,8,10
S0012,Q6,4,10
S0012,Q7,3,10
S0012,Q8,3,10
S0012,Q9,6,10
S0012,Q10,4,10
S0013,Q1,5,10
S0013,Q2,5,10
S0013,Q3,3,10
S0013,Q4,2,10
S0013,Q5,3,10
